Handle,Title,Body (HTML),Vendor,Standard Product Type,Custom Product Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
rudenelis,,,,,,,,,350g,,,,,89-2,1000.0,,0,deny,manual,5.78,,true,true,"",,,,,,,,,,,,,,,,,,,,,kg,,,
rudenelis,,,,,,,,,1kg,,,,,89-3,1000.0,,0,deny,manual,16.50,,true,true,"",,,,,,,,,,,,,,,,,,,,,kg,,,
rozmarinai,Rozmarinai,Naudojami pagal skonį.,Paskanink,"Food, Beverages & Tobacco > Food Items > Seasonings & Spices",,"",true,Size,100g,,,,,88,1000.0,,0,deny,manual,1.45,,true,true,"",https://cdn.shopify.com/s/files/1/0605/2898/4321/products/Rozmarinai.jpg?v=1634635005,1,,false,,,,,,,,,,,,,,,,,kg,,,active
rozmarinai,,,,,,,,,250g,,,,,88-1,1000.0,,0,deny,manual,3.63,,true,true,"",,,,,,,,,,,,,,,,,,,,,kg,,,
rozmarinai,,,,,,,,,350g,,,,,88-2,1000.0,,0,deny,manual,5.08,,true,true,"",,,,,,,,,,,,,,,,,,,,,kg,,,
rozmarinai,,,,,,,,,1kg,,,,,88-3,1000.0,,0,deny,manual,14.50,,true,true,"",,,,,,,,,,,,,,,,,,,,,kg,,,
raudoneliai,Raudonėliai,Naudojama kaip prieskonis arba arbatai gaminti.,Paskanink,"Food, Beverages & Tobacco > Food Items > Seasonings & Spices",,"",true,Size,100g,,,,,87,1000.0,,0,deny,manual,1.45,,true,true,"",https://cdn.shopify.com/s/files/1/0605/2898/4321/products/Raudoneliai.jpg?v=1634634945,1,,false,,,,,,,,,,,,,,,,,kg,,,active
raudoneliai,,,,,,,,,250g,,,,,87-1,1000.0,,0,deny,manual,3.63,,true,true,"",,,,,,,,,,,,,,,,,,,,,kg,,,
raudoneliai,,,,,,,,,350g,,,,,87-2,1000.0,,0,deny,manual,5.08,,true,true,"",,,,,,,,,,,,,,,,,,,,,kg,,,
raudoneliai,,,,,,,,,1kg,,,,,87-3,1000.0,,0,deny,manual,14.50,,true,true,"",,,,,,,,,,,,,,,,,,,,,kg,,,
raudonieji-pipirai,Raudonieji pipirai,Naudojami pagal skonį.,Paskanink,"Food, Beverages & Tobacco > Food Items > Seasonings & Spices",,"",true,Size,100g,,,,,86,1000.0,,0,deny,manual,2.75,,true,true,"",https://cdn.shopify.com/s/files/1/0605/2898/4321/products/Raudoniejipipirai.jpg?v=1634634879,1,,false,,,,,,,,,,,,,,,,,kg,,,active
raudonieji-pipirai,,,,,,,,,250g,,,,,86-1,1000.0,,0,deny,manual,6.88,,true,true,"",,,,,,,,,,,,,,,,,,,,,kg,,,
raudonieji-pipirai,,,,,,,,,350g,,,,,86-2,1000.0,,0,deny,manual,9.63,,true,true,"",,,,,,,,,,,,,,,,,,,,,kg,,,
raudonieji-pipirai,,,,,,,,,1kg,,,,,86-3,1000.0,,0,deny,manual,27.50,,true,true,"",,,,,,,,,,,,,,,,,,,,,kg,,,
raudona-saldi-rukyta-paprika,Raudona saldi rūkyta paprika,Naudojama pagal skonį.,Paskanink,"Food, Beverages & Tobacco > Food Items > Seasonings & Spices",,"",true,Size,100g,,,,,85,1000.0,,0,deny,manual,1.55,,true,true,"",https://cdn.shopify.com/s/files/1/0605/2898/4321/products/Raudonasaldirukytapaprika.jpg?v=1634634812,1,,false,,,,,,,,,,,,,,,,,kg,,,active
raudona-saldi-rukyta-paprika,,,,,,,,,250g,,,,,85-1,1000.0,,0,deny,manual,3.88,,true,true,"",,,,,,,,,,,,,,,,,,,,,kg,,,
raudona-saldi-rukyta-paprika,,,,,,,,,350g,,,,,85-2,1000.0,,0,deny,manual,5.43,,true,true,"",,,,,,,,,,,,,,,,,,,,,kg,,,
raudona-saldi-rukyta-paprika,,,,,,,,,1kg,,,,,85-3,1000.0,,0,deny,manual,15.50,,true,true,"",,,,,,,,,,,,,,,,,,,,,kg,,,
raudona-paprika-smulkinta,Raudona paprika smulkinta,Naudojama pagal skonį.,Paskanink,"Food, Beverages & Tobacco > Food Items > Seasonings & Spices",,"",true,Size,100g,,,,,83,1000.0,,0,deny,manual,1.20,,true,true,"",https://cdn.shopify.com/s/files/1/0605/2898/4321/products/Raudonapaprikasmulkinta.jpg?v=1634634660,1,,false,,,,,,,,,,,,,,,,,kg,,,active
raudona-paprika-smulkinta,,,,,,,,,250g,,,,,83-1,1000.0,,0,deny,manual,3.00,,true,true,"",,,,,,,,,,,,,,,,,,,,,kg,,,
raudona-paprika-smulkinta,,,,,,,,,350g,,,,,83-2,1000.0,,0,deny,manual,4.20,,true,true,"",,,,,,,,,,,,,,,,,,,,,kg,,,
raudona-paprika-smulkinta,,,,,,,,,1kg,,,,,83-3,1000.0,,0,deny,manual,12.00,,true,true,"",,,,,,,,,,,,,,,,,,,,,kg,,,
provanso-zoleliu-misinys,Provanso žolelių mišinys,"<p>Naudojamas makaronams ir daržovių patiekalams gardinti.</p>
<p>Sudėtis: raudonėliai, bazilikai, mairūnai, dašiai, levandos, rozmarinai, čiobreliai, kalendros.</p>",Paskanink,"Food, Beverages & Tobacco > Food Items > Seasonings & Spices",,"",true,Size,100g,,,,,82,1000.0,,0,deny,manual,1.85,,true,true,"",https://cdn.shopify.com/s/files/1/0605/2898/4321/products/Provansozoleliumisinys.jpg?v=1634634599,1,,false,,,,,,,,,,,,,,,,,kg,,,active
provanso-zoleliu-misinys,,,,,,,,,250g,,,,,82-1,1000.0,,0,deny,manual,4.63,,true,true,"",,,,,,,,,,,,,,,,,,,,,kg,,,
provanso-zoleliu-misinys,,,,,,,,,350g,,,,,82-2,1000.0,,0,deny,manual,6.48,,true,true,"",,,,,,,,,,,,,,,,,,,,,kg,,,
provanso-zoleliu-misinys,,,,,,,,,1kg,,,,,82-3,1000.0,,0,deny,manual,18.50,,true,true,"",,,,,,,,,,,,,,,,,,,,,kg,,,
prieskoniu-misinys-voveraites,Prieskonių mišinys su voveraitėmis,"<p>Tinka gardinti padažams, sriuboms, koldūnams, makaronams, ryžiams, bulvėms.</p>
<p>Sudėtis: įvairiomis proporcijomis prieskoniai: kepti svogūnai, svogūnų granulės, petražolės, porai, ciberžolė, džiovintos voveraitės, grietinėlė, pienjo milteliai, bulvių dribsniai ir krakmolas, augaliniai riebalai, kv. miltai, druska 8%.</p>",Paskanink,"Food, Beverages & Tobacco > Food Items > Seasonings & Spices",,"",true,Size,100g,,,,,81,1000.0,,0,deny,manual,1.85,,true,true,"",https://cdn.shopify.com/s/files/1/0605/2898/4321/products/Prieskoniumisinysvoveraites.jpg?v=1634634526,1,,false,,,,,,,,,,,,,,,,,kg,,,active
prieskoniu-misinys-voveraites,,,,,,,,,250g,,,,,81-1,1000.0,,0,deny,manual,4.63,,true,true,"",,,,,,,,,,,,,,,,,,,,,kg,,,
prieskoniu-misinys-voveraites,,,,,,,,,350g,,,,,81-2,1000.0,,0,deny,manual,6.48,,true,true,"",,,,,,,,,,,,,,,,,,,,,kg,,,
prieskoniu-misinys-voveraites,,,,,,,,,1kg,,,,,81-3,1000.0,,0,deny,manual,18.50,,true,true,"",,,,,,,,,,,,,,,,,,,,,kg,,,
